title,rating,stars
拜托了！别宠我第五季,8.0分,"张淼怡,金贤正,普普,王子菲,唐浩,王龙,韩佳卉,于秉池,汪颖菲,周千筱,马倩倩"
旋风少女第二季,5.3分,"池昌旭,安悦溪,陈翔,吴磊,谭松韵,郭俊辰,雨婷儿"
再婚进行时,6.5分,"高露,曹炳琨,姚芊羽,张铎,赵玲琪,严敏裘,白志迪,何昊阳,高郡伟"
乡亲乡爱,8.0分,"范伟,潘小样,王纯,黑妹,秦鸣悦,高歆迪,高飞,李戈,刘永生"
美人为馅2,7.0分,"杨蓉,白宇,张逸杰,米热"
美人为馅,5.9分,"杨蓉,白宇,张逸杰,米热,戚跡,何奉天"
美人为馅3,6.0分,"杨蓉,白宇,张逸杰,米热"
快把我夫人带走,8.0分,依灵 / 王景灏 / 陈露茜 / 吴欣洲 / 孟醒 / 邓志浩
谍海追踪,6.0分,"张倬闻,张雯,李琳,牟凤彬,张弓"
飞哥大英雄,5.6分,"雷佳音,李梦男,马敬涵,松浦敬之,王沥,董晴"
家常菜,7.1分,"黄志忠,左小青,童瑶,岳红"
开局一座山,5.0分,陈子由 / 王艺瑾 / 庞勇 / 脑门额尔德尼 / 郁子阳
狂飙,7.9分,张译 / 张颂文 / 李一桐 / 张志坚 / 吴刚 / 倪大红 / 韩童生 / 李建义 / 石兆琪 / 高叶 / 李健 / 王骁 / 苏小玎 / 郝平 / 林家川 / 阿如那 / 鲍大志 / 令卓 / 岳阳（大陆） / 宁晓志 / 孙岩 / 崔志刚 / 曲栅栅 / 王沛禄 / 王宏 / 郑家彬 / 冯兵 / 赵梓冲 / 苏茂洋 / 康福震 / 秦戈
一不小心捡到爱,9.0分,"赵露思,刘特,周峻纬,漆培鑫,李沐宸,刘胤君,张研,贺鹏,宗元圆,刘哲珲"
心理探险家,6.0分,孙序博 / 谢侍辛 / 胡笑源 / 王姿霖 / 许之糯 / 王婷 / 王晔 / 李羿瑄
临夜传,8.0分,"李菲,李俊辰,明加加"
红鲨突击,6.0分,"唐曾,战菁一,李东恒,杨梓墨,王品一"
